"Options.SECTION:[algernon.PlopTheGrowables]","Plop the Growables"
"Options.GROUP:Locking","Level locking"
"Options.OPTION:LockPloppedBuildings","Заблокировать уровень здания при размещении"
"Options.OPTION_DESCRIPTION:LockPloppedBuildings","Автоматически блокировать уровень вручную размещенного здания, пока активна эта настройка."
"Options.OPTION:NoAbandonment","Disable abandonment"
"Options.OPTION_DESCRIPTION:NoAbandonment","Prevents buildings from becoming abandoned. This does NOT affect any buildings that are already abandoned."
"Options.OPTION:DisableLevelling","Отключить ВСЕ изменения уровней зданий"
"Options.OPTION_DESCRIPTION:DisableLevelling","Предотвращает изменение уровня ВСЕХ зданий, тем самым сохраняя их внешний вид."
"Options.GROUP:ApplyToExisting","Apply to existing buildings"
"Options.OPTION:LockAllBuildings","Lock building levels for all existing buildings"
"Options.OPTION_DESCRIPTION:LockAllBuildings","Immediately apply level locking to all existing growable buildings.  This does NOT affect any buildings placed or spawned after this button is pressed."
"Options.OPTION:UnlockAllBuildings","Unlock building levels for all existing buildings"
"Options.OPTION_DESCRIPTION:UnlockAllBuildings","Immediately remove level locking from all existing growable buildings.  This does NOT affect any buildings placed or spawned after this button is pressed."
"Options.OPTION:RemoveAllAbandonment","Remove abandonment from all existing buildings"
"Options.OPTION_DESCRIPTION:RemoveAllAbandonment","Immediately remove abandonment from all existing growable buildings.  This does NOT affect any buildings placed or spawned after this button is pressed."
"PLOPTHEGROWABLES.LockLevel","Заблокировать уровень здания"
"PLOPTHEGROWABLES_DESCRIPTION.LockLevel","Если этот параметр установлен, то здание не сможет менять уровни и, следовательно, сохранит свой внешний вид неизменным."
